"student_id","age","gender","high_school_gpa","sat_score","university_ranking","university_gpa","field_of_study","internships_completed","projects_completed","certifications","soft_skills_score","networking_score","job_offers","starting_salary","career_satisfaction","years_to_promotion","current_job_level","work_life_balance","entrepreneurship","starting_salary_category"
"S00271",25,"Male",2.79,1493,743,3.95,"Mathematics",0,8,4,8,7,0,53200,1,1,"Senior",2,"No","Medio"
"S00275",18,"Female",3.72,1093,428,2.74,"Medicine",3,9,0,4,1,0,77500,10,4,"Senior",9,"No","Alto"
"S00283",20,"Male",3.77,1182,223,3.98,"Medicine",1,8,3,6,7,4,25000,9,4,"Mid",3,"Yes","Bajo"
"S00284",24,"Female",2.44,959,492,3.42,"Medicine",0,5,5,3,4,0,69700,8,5,"Entry",2,"No","Alto"
"S00285",29,"Male",2.93,1017,11,3.04,"Medicine",1,9,1,7,8,4,67800,2,4,"Senior",2,"No","Alto"
"S00290",18,"Male",3.34,990,310,2.19,"Mathematics",4,5,2,9,4,1,40500,9,2,"Mid",1,"No","Medio"
"S00293",29,"Female",2.81,997,340,2.04,"Medicine",0,5,0,5,10,2,25000,10,2,"Entry",2,"Yes","Bajo"
"S00296",28,"Female",3.09,1437,574,2.85,"Medicine",0,4,1,9,2,0,52300,4,3,"Mid",1,"Yes","Medio"
"S00297",24,"Male",3.06,927,825,2.14,"Mathematics",0,5,1,5,6,4,74900,8,5,"Entry",8,"No","Alto"
"S00308",25,"Male",2.5,1322,444,3.72,"Medicine",4,9,5,10,10,2,52400,6,2,"Entry",7,"No","Medio"
"S00312",25,"Male",3.82,1279,969,2.97,"Mathematics",1,7,4,6,1,5,37300,7,2,"Mid",7,"No","Medio"
"S00316",21,"Male",3.9,1552,973,3.25,"Mathematics",0,6,4,9,5,3,51600,6,3,"Senior",5,"No","Medio"
"S00317",20,"Female",3.92,1436,304,2.04,"Medicine",0,5,1,10,1,2,61100,9,2,"Mid",1,"Yes","Alto"
"S00318",26,"Female",2.2,988,958,3.22,"Medicine",2,9,0,8,5,0,34100,7,4,"Mid",7,"Yes","Medio"
"S00320",26,"Male",2.32,1410,861,2.39,"Medicine",3,5,1,6,5,3,32200,9,1,"Entry",8,"No","Medio"
"S00322",19,"Male",2.36,1288,953,3.79,"Medicine",0,3,5,1,9,3,42700,4,4,"Senior",7,"No","Medio"
"S00325",20,"Male",2.04,1006,881,2.63,"Mathematics",2,2,4,9,10,1,65600,10,2,"Senior",10,"Yes","Alto"
"S00326",26,"Male",3.21,1010,540,3.55,"Mathematics",3,3,4,5,10,4,67400,3,5,"Entry",8,"No","Alto"
"S00327",21,"Male",2.55,1176,485,3.86,"Medicine",2,2,3,5,2,5,68100,1,4,"Senior",5,"No","Alto"
"S00328",18,"Female",3.72,1113,77,2.72,"Mathematics",2,2,2,3,6,1,35100,5,2,"Entry",8,"Yes","Medio"
"S00329",21,"Female",2.57,1405,633,3.61,"Medicine",2,9,2,8,5,5,32200,4,1,"Senior",1,"No","Medio"
"S00331",22,"Female",3.35,1033,549,2.79,"Mathematics",1,3,2,8,2,1,64600,4,2,"Entry",8,"No","Alto"
"S00333",25,"Male",2.07,1156,659,3.02,"Mathematics",2,3,2,8,10,4,50000,6,1,"Entry",8,"No","Medio"
"S00336",20,"Female",3.62,947,785,2.52,"Mathematics",3,3,2,1,6,0,42800,4,2,"Entry",1,"No","Medio"
"S00338",18,"Male",2.91,918,466,3.86,"Mathematics",2,7,3,5,6,2,31000,3,5,"Entry",10,"No","Medio"
"S00339",29,"Male",3.21,945,889,3.36,"Medicine",4,8,4,10,4,2,48100,4,3,"Executive",3,"No","Medio"
"S00341",20,"Male",3.65,955,40,2.54,"Medicine",3,5,2,10,4,4,35000,8,4,"Senior",10,"No","Medio"
"S00343",24,"Male",2.55,991,329,3.94,"Mathematics",4,3,4,10,1,2,72400,8,1,"Entry",8,"Yes","Alto"
"S00350",28,"Other",2.43,1215,657,3.98,"Mathematics",2,8,2,2,9,0,81200,2,4,"Senior",6,"No","Alto"
"S00352",19,"Male",2.83,1055,109,3.55,"Medicine",1,7,1,8,10,5,53100,7,1,"Entry",2,"No","Medio"
"S00358",29,"Female",2.41,1530,572,2.02,"Medicine",3,1,2,10,3,5,36500,6,3,"Mid",3,"No","Medio"
"S00359",20,"Female",2.31,1365,862,2.61,"Medicine",0,6,5,3,8,5,44100,4,5,"Executive",1,"Yes","Medio"
"S00360",21,"Female",3.76,1083,739,2.78,"Medicine",4,1,1,2,5,0,53200,3,4,"Senior",2,"Yes","Medio"
"S00362",18,"Female",2.82,1065,435,2.13,"Mathematics",2,9,1,8,10,5,71200,9,2,"Mid",7,"Yes","Alto"
"S00369",29,"Male",2.5,1555,170,3.43,"Mathematics",3,0,4,7,9,4,41600,1,1,"Entry",2,"No","Medio"
"S00371",22,"Male",3.89,1599,792,3.87,"Medicine",2,7,5,2,3,1,34000,4,4,"Entry",7,"No","Medio"
"S00375",20,"Female",2.12,1257,683,3.45,"Mathematics",2,5,4,7,2,5,50600,8,4,"Entry",4,"No","Medio"
"S00377",18,"Male",2.29,1307,147,3.09,"Mathematics",1,3,3,3,3,2,49000,7,5,"Entry",8,"No","Medio"
"S00379",22,"Female",3.07,1521,317,3.24,"Mathematics",3,5,3,3,8,0,55800,4,5,"Senior",5,"No","Medio"
"S00386",23,"Female",3.17,1580,547,2.28,"Medicine",2,0,1,2,9,4,63200,4,3,"Executive",4,"No","Alto"
"S00387",27,"Female",2.63,1374,835,2.73,"Mathematics",1,0,5,3,7,3,35100,3,5,"Entry",1,"Yes","Medio"
"S00391",19,"Female",2.86,1092,669,3.53,"Mathematics",4,2,0,5,2,4,43300,6,4,"Mid",6,"No","Medio"
"S00394",19,"Male",2.02,905,129,3.21,"Medicine",2,5,0,8,2,3,43900,6,3,"Senior",4,"No","Medio"
"S00399",18,"Female",2.94,1462,883,3.7,"Mathematics",1,8,4,7,6,0,61800,7,1,"Entry",6,"No","Alto"
"S00400",25,"Male",3.15,1193,252,2.31,"Medicine",3,3,5,4,1,4,57800,6,3,"Senior",7,"No","Medio"
"S00402",26,"Female",3.66,1291,843,3.38,"Medicine",0,4,5,5,1,5,32800,3,3,"Mid",5,"No","Medio"
"S00407",24,"Female",3.49,1042,80,3.26,"Mathematics",0,0,5,7,9,3,48300,3,3,"Mid",5,"Yes","Medio"
"S00408",27,"Male",3.01,1136,191,3.83,"Mathematics",1,4,5,5,1,4,47600,7,3,"Entry",5,"No","Medio"
"S00409",20,"Male",2.14,1186,453,2.63,"Mathematics",3,9,4,9,4,0,25000,5,3,"Entry",4,"No","Bajo"
"S00411",26,"Male",3.61,1286,30,2.21,"Mathematics",2,5,0,5,4,1,32100,4,2,"Senior",4,"No","Medio"
"S00412",25,"Female",2.58,1281,414,2.26,"Medicine",2,2,2,6,8,2,44000,6,1,"Mid",7,"Yes","Medio"
"S00414",27,"Female",2.85,1190,368,2.18,"Medicine",4,2,0,9,6,1,59800,7,4,"Entry",8,"No","Medio"
"S00416",26,"Male",3.69,1342,993,2.64,"Medicine",4,6,2,4,10,3,79200,7,5,"Executive",10,"No","Alto"
"S00418",21,"Male",3.38,1083,502,3.74,"Medicine",4,9,5,5,8,4,38000,2,3,"Entry",2,"No","Medio"
"S00422",20,"Female",3.51,1152,21,3.42,"Mathematics",2,2,4,5,2,2,41500,7,5,"Mid",3,"No","Medio"
"S00428",23,"Male",2.43,1215,806,3.74,"Medicine",2,6,1,6,7,5,43900,5,3,"Entry",3,"No","Medio"
"S00431",27,"Male",2.35,1322,838,2.71,"Mathematics",2,2,5,8,2,5,38100,5,3,"Entry",2,"No","Medio"
"S00432",23,"Other",3.49,1132,800,3.16,"Mathematics",2,2,5,5,1,1,58500,2,4,"Entry",7,"Yes","Medio"
"S00434",27,"Female",2.91,1511,988,2.13,"Mathematics",2,5,4,7,3,1,58400,3,1,"Executive",4,"No","Medio"
"S00435",23,"Male",2.77,1113,976,3.19,"Medicine",4,1,5,9,6,3,54300,5,5,"Entry",6,"No","Medio"
"S00443",22,"Female",2.86,1593,798,3.48,"Medicine",3,0,1,6,7,3,60100,3,5,"Mid",10,"No","Alto"
"S00446",22,"Male",3.01,1095,287,3.43,"Mathematics",1,3,1,1,10,0,47700,7,2,"Mid",3,"No","Medio"
"S00449",29,"Male",2.25,1427,898,2.34,"Medicine",4,0,2,7,5,3,49500,5,1,"Mid",5,"Yes","Medio"
"S00451",24,"Female",3.22,1504,679,3.15,"Medicine",4,4,1,10,1,3,46000,7,5,"Entry",10,"No","Medio"
"S00452",21,"Female",2.39,1032,603,3.96,"Mathematics",4,1,0,2,6,4,73900,4,4,"Mid",4,"No","Alto"
"S00455",20,"Male",3.92,1392,950,3.07,"Medicine",0,6,1,5,7,2,45300,10,4,"Mid",4,"No","Medio"
"S00461",27,"Male",2.04,1345,199,3.91,"Mathematics",0,5,4,7,6,5,48500,2,2,"Senior",4,"No","Medio"
"S00467",27,"Female",3.58,1371,147,3.75,"Mathematics",4,3,0,10,5,2,28300,2,2,"Mid",2,"No","Bajo"
"S00474",26,"Female",2.82,1484,895,2.33,"Mathematics",3,0,0,7,7,2,72100,9,4,"Mid",9,"No","Alto"
"S00477",18,"Female",3.95,1178,352,2.55,"Mathematics",2,8,4,8,5,2,44800,5,3,"Entry",3,"No","Medio"
"S00483",26,"Male",2.62,1008,155,3.74,"Medicine",4,2,0,5,7,2,67300,3,4,"Mid",3,"No","Alto"
"S00486",18,"Male",2.94,1133,939,2.04,"Medicine",0,5,2,6,6,3,25000,10,1,"Entry",2,"No","Bajo"
"S00488",22,"Male",3.46,1086,455,2.18,"Mathematics",1,4,0,3,5,4,55900,6,3,"Entry",3,"No","Medio"
"S00491",20,"Male",3.79,1408,333,2.94,"Medicine",2,4,0,4,9,1,54600,2,3,"Entry",1,"No","Medio"
"S00492",29,"Male",2.12,1419,944,3.7,"Medicine",2,8,1,7,6,5,49200,10,5,"Entry",9,"No","Medio"
"S00494",20,"Female",3.43,1297,258,2.68,"Medicine",3,4,1,10,9,0,46500,10,2,"Entry",2,"No","Medio"
"S00497",26,"Female",2.27,1548,445,3.58,"Mathematics",1,8,0,2,4,5,46400,5,1,"Entry",8,"Yes","Medio"
"S00501",21,"Male",3.53,1457,486,3.52,"Mathematics",1,5,4,2,2,3,40300,10,3,"Mid",8,"No","Medio"
"S00507",24,"Male",2.83,1565,791,2.61,"Mathematics",1,1,2,7,5,1,52400,6,4,"Mid",7,"No","Medio"
"S00508",21,"Male",3.54,1029,310,2.89,"Mathematics",1,8,0,8,1,1,54500,5,1,"Mid",1,"Yes","Medio"
"S00513",27,"Male",3.69,1168,971,3.33,"Mathematics",2,0,3,10,10,2,52000,5,3,"Entry",9,"Yes","Medio"
"S00521",20,"Male",2.17,1010,472,2.07,"Medicine",3,7,3,2,1,1,51400,3,3,"Mid",10,"No","Medio"
"S00525",22,"Male",3.76,1468,804,3.8,"Medicine",1,6,4,8,3,4,30300,1,4,"Entry",5,"Yes","Medio"
"S00529",19,"Female",2.78,1458,63,2.48,"Mathematics",0,4,2,1,4,1,57700,5,2,"Entry",8,"No","Medio"
"S00533",21,"Female",3.44,1381,590,3.35,"Medicine",3,6,2,9,7,0,79600,9,4,"Entry",4,"No","Alto"
"S00535",29,"Male",3.89,1570,948,2.77,"Medicine",4,0,4,10,2,4,70800,10,4,"Senior",1,"No","Alto"
"S00536",19,"Male",2.08,1281,258,2.3,"Medicine",4,8,2,7,10,1,37800,7,1,"Mid",9,"No","Medio"
"S00539",18,"Female",3.84,1192,114,2.21,"Medicine",3,1,5,5,2,5,38000,3,5,"Mid",8,"No","Medio"
"S00542",28,"Male",3.71,1375,380,3.45,"Mathematics",4,8,4,8,2,5,39200,7,2,"Entry",1,"No","Medio"
"S00543",22,"Male",2.48,1124,658,2.77,"Mathematics",0,8,4,2,2,1,25000,8,2,"Senior",2,"Yes","Bajo"
"S00546",18,"Female",3.46,1562,476,3.16,"Mathematics",0,1,4,7,7,2,60500,10,5,"Mid",9,"No","Alto"
"S00555",19,"Female",2.96,1171,257,3.72,"Medicine",0,7,2,10,5,5,25000,5,2,"Mid",6,"No","Bajo"
"S00557",24,"Male",2.43,1202,992,2.39,"Mathematics",2,4,1,10,9,5,45400,8,2,"Senior",7,"Yes","Medio"
"S00567",24,"Male",2.84,1045,503,2.29,"Mathematics",0,5,1,6,6,5,53200,6,5,"Senior",5,"Yes","Medio"
"S00569",27,"Female",3.3,1469,178,3.34,"Mathematics",1,5,1,6,10,0,44300,1,1,"Senior",9,"No","Medio"
"S00571",19,"Male",3.83,1144,543,3.15,"Mathematics",1,3,0,7,7,3,50700,7,1,"Senior",2,"Yes","Medio"
"S00575",26,"Male",3.85,999,963,2.85,"Medicine",2,8,5,4,7,4,64300,4,1,"Entry",3,"No","Alto"
"S00579",27,"Female",2.75,1537,44,3.19,"Medicine",2,5,5,7,9,0,51000,5,1,"Mid",1,"No","Medio"
"S00593",29,"Female",3.96,1362,591,3.59,"Medicine",0,9,2,6,3,2,33900,9,2,"Entry",3,"No","Medio"
"S00594",18,"Male",2.99,1569,194,2.17,"Medicine",4,7,0,5,10,2,68400,4,1,"Senior",9,"No","Alto"
"S00597",26,"Male",2.64,1326,96,2.13,"Mathematics",4,4,5,7,3,4,43300,7,2,"Entry",3,"Yes","Medio"
"S00598",20,"Female",3.16,1216,40,3.01,"Medicine",4,4,2,6,7,2,44000,6,3,"Mid",8,"No","Medio"
"S00599",26,"Female",2.15,1378,768,3,"Medicine",0,1,3,9,6,0,40900,8,1,"Entry",10,"No","Medio"
"S00600",18,"Female",3.89,1320,397,3.41,"Mathematics",4,3,0,10,4,2,51100,3,1,"Mid",8,"No","Medio"
"S00602",21,"Male",3.83,1380,17,3.46,"Mathematics",2,1,5,1,8,3,48800,10,5,"Entry",1,"No","Medio"
"S00615",29,"Other",2.17,1156,842,2.26,"Medicine",2,0,1,8,3,1,54100,3,2,"Mid",4,"No","Medio"
"S00616",21,"Male",2.97,942,593,3.76,"Mathematics",2,8,3,4,5,4,57100,9,4,"Executive",2,"Yes","Medio"
"S00617",20,"Female",3.03,1141,350,3.66,"Mathematics",0,6,2,9,10,2,52900,5,1,"Entry",6,"No","Medio"
"S00623",26,"Female",3.23,1405,778,3.4,"Medicine",4,4,1,4,6,0,42600,4,3,"Mid",2,"Yes","Medio"
"S00626",22,"Male",3.19,1572,94,2.66,"Medicine",2,0,0,10,7,5,25000,10,3,"Mid",8,"Yes","Bajo"
"S00627",21,"Female",3.19,986,723,2.92,"Mathematics",2,2,5,3,9,2,40500,5,5,"Mid",10,"No","Medio"
"S00628",22,"Female",2.33,1388,295,2.16,"Mathematics",0,3,5,5,10,1,42500,10,5,"Senior",2,"Yes","Medio"
"S00630",26,"Male",3.96,1556,899,3.39,"Medicine",4,7,3,1,1,5,45600,5,5,"Entry",2,"Yes","Medio"
"S00631",24,"Female",2.79,1244,89,3.91,"Medicine",2,7,5,9,7,3,56700,6,2,"Entry",1,"No","Medio"
"S00635",24,"Male",3.22,1313,214,2.37,"Medicine",2,5,5,10,2,1,54000,5,2,"Entry",3,"No","Medio"
"S00637",22,"Male",2.18,1424,526,2.14,"Mathematics",1,5,4,9,7,2,38400,6,1,"Entry",7,"No","Medio"
"S00640",28,"Male",2.63,1158,694,2.62,"Mathematics",1,1,4,8,5,1,40000,4,5,"Entry",7,"No","Medio"
"S00644",26,"Male",3.86,916,693,2.13,"Medicine",0,6,3,1,9,2,25000,8,3,"Mid",7,"No","Bajo"
"S00646",27,"Male",3.73,1443,681,2.5,"Medicine",4,0,5,9,10,0,57900,8,5,"Entry",7,"No","Medio"
"S00649",23,"Male",2.49,1172,608,2.64,"Mathematics",3,0,5,10,6,4,60300,9,4,"Mid",3,"No","Alto"
"S00658",22,"Male",3.7,1331,843,2.99,"Medicine",4,0,0,5,4,3,55100,1,2,"Senior",10,"Yes","Medio"
"S00664",23,"Female",2.02,1140,999,2.52,"Mathematics",4,6,3,3,2,0,58500,9,3,"Entry",1,"No","Medio"
"S00665",21,"Male",3.11,1122,103,2.38,"Mathematics",1,7,4,3,2,3,54700,1,1,"Entry",2,"No","Medio"
"S00670",21,"Male",2.13,1274,912,3.23,"Mathematics",1,8,4,10,9,1,53200,10,5,"Senior",4,"No","Medio"
"S00672",29,"Female",3.19,1426,104,3.35,"Mathematics",4,2,5,9,10,0,40000,9,1,"Mid",9,"No","Medio"
"S00673",20,"Male",2.55,1311,259,3.57,"Medicine",1,6,2,8,10,3,45300,8,3,"Entry",7,"No","Medio"
"S00678",27,"Female",3.44,1553,642,2.91,"Mathematics",4,8,0,8,8,2,57100,9,2,"Mid",9,"No","Medio"
"S00682",20,"Female",3.3,1267,27,2.09,"Medicine",4,3,4,4,8,3,48400,8,2,"Executive",7,"Yes","Medio"
"S00687",29,"Male",2.75,1292,953,2.05,"Medicine",4,2,4,9,5,1,56400,6,3,"Mid",3,"No","Medio"
"S00695",29,"Female",2.59,1587,30,2.47,"Medicine",1,6,5,8,9,3,55800,10,3,"Senior",5,"No","Medio"
"S00697",26,"Male",2.33,965,340,2.45,"Medicine",3,0,4,2,7,5,44600,1,1,"Mid",2,"No","Medio"
"S00700",23,"Male",3.86,1299,566,2.1,"Medicine",1,3,0,5,10,5,59600,2,3,"Entry",4,"No","Medio"
"S00702",23,"Female",3.05,1085,795,3.28,"Medicine",1,1,3,5,1,1,43100,2,1,"Senior",9,"No","Medio"
